trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
62,0,62,0,10,126.26881080004387,126.26881080004387,0.02828809997299686,[-0.24537037037037038],[-0.4703703703703704],[1],[0],[0],[3.0517529000062495],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
63,0,63,0,10,129.34754779998912,129.34754779998912,0.02361979999113828,[0.475],[-0.07962962962962963],[1],[0],[0],[2.1549550999770872],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
64,0,64,0,5,131.5217927999911,131.5217927999911,0.0163511999999173,[-0.05277777777777778],[-0.3648148148148148],[1],[0],[0],[1.696948800003156],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
65,0,65,0,5,133.23500480002258,133.23500480002258,0.01307210000231862,[-0.3888888888888889],[-0.06111111111111111],[1],[0],[0],[1.3832314999890514],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
66,0,66,0,5,134.64445580000756,134.64445580000756,0.02155460003996268,[0.016666666666666666],[0.42777777777777776],[1],[0],[0],[1.9078488000086509],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
67,0,67,0,5,136.56878120003967,136.56878120003967,0.013390899985097349,[-0.14629629629629629],[0.46944444444444444],[1],[0],[0],[1.249587900005281],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
68,0,68,0,5,137.8371136999922,137.8371136999922,0.014904200041200966,[-0.13425925925925927],[0.44351851851851853],[1],[0],[0],[0.6659602000145242],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
69,0,69,0,5,138.52425710001262,138.52425710001262,0.01555690000532195,[0.20092592592592592],[0.06944444444444445],[1],[0],[0],[1.2456068000174128],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
70,0,70,0,10,139.80041610001354,139.80041610001354,0.023085399996489286,[-0.17962962962962964],[0.13796296296296295],[1],[0],[0],[3.390989299979992],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
71,0,71,0,5,143.2013513999991,143.2013513999991,0.013082100020255893,[-0.4703703703703704],[-0.09814814814814815],[1],[0],[0],[2.001590200001374],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
72,0,72,0,5,145.22178290004376,145.22178290004376,0.013545499998144805,[0.225],[-0.4527777777777778],[1],[0],[0],[2.3666253000264987],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
73,0,73,0,5,147.6067334000254,147.6067334000254,0.01585620001424104,[0.31203703703703706],[0.12407407407407407],[1],[0],[0],[1.9307235999731347],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
74,0,74,0,10,149.6097075000289,149.6097075000289,0.0489963999716565,[0.38425925925925924],[-0.2064814814814815],[1],[0],[0],[1.3012441999744624],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
75,0,75,0,5,150.92768820002675,150.92768820002675,0.024273399962112308,[-0.13703703703703704],[-0.05277777777777778],[1],[0],[0],[1.3799119999748655],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
76,0,76,0,10,152.34130420000292,152.34130420000292,0.02665399998659268,[0.26944444444444443],[-0.3731481481481482],[1],[0],[0],[3.419341299973894],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
77,0,77,0,5,155.78005140001187,155.78005140001187,0.02031859999988228,[-0.01574074074074074],[-0.2796296296296296],[1],[0],[0],[1.2434856000472791],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
78,0,78,0,5,157.03993580001406,157.03993580001406,0.012810699990950525,[-0.22037037037037038],[0.28425925925925927],[1],[0],[0],[1.4683355000452138],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
79,0,79,0,5,158.5277872000006,158.5277872000006,0.015314300020691007,[-0.125],[0.12685185185185185],[1],[0],[0],[1.1960709000122733],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
80,0,80,0,10,159.75476360000903,159.75476360000903,0.023132800008170307,[-0.08518518518518518],[0.16018518518518518],[1],[0],[0],[0.8405970999738201],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
